transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
PB.35887.71	-7.363243940941222	7.769621744233229	-14.635150300264195	7.39321535117435e-8	0.002942784490594722	8.810530839621011	down
PB.25298.209	-2.522046134393686	5.8959872936906175	-11.01411238832168	9.69605796239053e-7	0.016226110598611492	6.284152856878626	down
ENSBIXT00005015481	-4.103525089867886	3.1868710061873986	-10.207489354585878	1.9027640476749408e-6	0.02089662050925502	5.56497900486105	down
PB.41850.111	-2.980058698280658	6.359298499637626	-9.41136362321773	3.8748086951228185e-6	0.023711860839209387	4.875350482898138	down
PB.2635.36	-12.076679720303428	2.5221720543086166	-14.36108639001686	8.792436369215919e-8	0.002942784490594722	4.766539500455389	down
PB.14835.31	-3.054875762158097	3.0628575523805597	-9.090436827172617	5.234872014671818e-6	0.023711860839209387	4.625075253548406	down
ENSBIXT00005051562	-4.567529139399487	1.999713643680288	-9.400667906336793	3.913320782007166e-6	0.023711860839209387	4.532192780329146	down
PB.19319.1	-7.731432353759316	2.5653816570035413	-10.09620019629035	2.095649191319099e-6	0.02089662050925502	4.401948144947445	down
PB.34736.14	-4.097349632138213	4.804988106395892	-8.767723549163408	7.146963999967568e-6	0.028141801364342883	4.307296043919855	down
PB.20748.11	-4.70357303601055	2.076666634801069	-9.007200273044106	5.6676940711296885e-6	0.023711860839209387	4.264069825715049	down
PB.9636.171	-5.457020897039116	2.1363689728524617	-9.166524603535834	4.870712368797776e-6	0.023711860839209387	4.087641104337477	down
ENSBIXT00005034025	-4.829446789318764	2.415682506785138	-8.641093180118176	8.096016324833541e-6	0.028564454740791397	4.056371418566657	down
PB.32937.63	3.736638932986936	2.854796960114849	8.447611506045057	9.822839215974657e-6	0.032876551713906375	4.008616770119163	up
PB.10073.13	3.9873844358948096	3.7097529508485363	8.381110496354918	1.0506222025236238e-5	0.03348933314987088	3.9503927669997516	up
PB.19319.15	-10.110929764414301	1.535319314032586	-11.349020522815044	7.420693325645825e-7	0.016226110598611492	3.9409819334354133	down
PB.30206.80	-2.821777502935399	2.9301125426079957	-8.163471889186871	1.313179134951989e-5	0.03597122395604727	3.733177399017002	down
PB.13594.9	-2.756604755902077	2.6536990202671453	-8.093326055338924	1.412454692411825e-5	0.03597122395604727	3.662435302811117	down
PB.17402.5	2.526818479854712	4.348726542291372	7.992609610807919	1.5696030948537434e-5	0.03597122395604727	3.5247873879293365	up
PB.36348.82	-8.684485978659795	0.8421849428336462	-10.048281020625256	2.185218535753225e-6	0.02089662050925502	3.4264195589634605	down
PB.16155.165	-2.7323294930478625	2.5207462030649457	-7.798058720319136	1.9299756878666e-5	0.03733983802628906	3.359296193585287	down
PB.38862.6	3.700510488828797	2.009770419256038	7.862566852941377	1.801368502107415e-5	0.03733983802628906	3.3409992303218843	up
ENSBIXT00005050859	-3.4099943536592603	2.5608068257011056	-7.672168278347688	2.2107559166215318e-5	0.03733983802628906	3.226150653366915	down
PB.40235.37	-7.811798140181832	0.4114458701515342	-9.576949841026991	3.3286083241481155e-6	0.023711860839209387	3.202949599137261	down
PB.37807.116	3.782948911028959	2.232687037075563	7.644759186737583	2.2776132869301682e-5	0.03733983802628906	3.164917232529957	up
ENSBIXT00005041568	3.72516352246625	2.814018816234974	7.606654025977313	2.3742483513864347e-5	0.03733983802628906	3.158372969246976	up
PB.16479.202	3.3834352129823113	2.966693775136271	7.55251318175257	2.5193154641180372e-5	0.03733983802628906	3.100799790814408	up
ENSBIXT00005003968	-3.4753403150471738	2.3682479868114976	-7.545438326231808	2.538974715715958e-5	0.03733983802628906	3.0915315541384176	down
PB.32148.4	-2.616510178984443	2.5884842661889427	-7.459303519896591	2.7922030935459633e-5	0.03733983802628906	2.9989905824404026	down
PB.42344.4	-3.138045024872468	4.018674217419465	-7.504360432188997	2.6564730168127477e-5	0.03733983802628906	2.9980508087785296	down
PB.20974.5	-8.035294524967153	0.48330293956889014	-9.134297030483618	5.021456279136609e-6	0.023711860839209387	2.99228365183618	down
PB.3807.7	-9.285042955226338	1.0820402810789664	-9.029488792564525	5.548082276244129e-6	0.023711860839209387	2.954436581593236	down
ENSBIXT00005019331	-6.512616999355783	1.921860631492507	-7.983896325802325	1.5840694371430706e-5	0.03597122395604727	2.9386142929710584	down
PB.37807.117	2.837087761543467	3.69564370030439	7.380878122566214	3.0468153628212935e-5	0.03733983802628906	2.8814134855618327	up
ENSBIXT00005002166	2.261550818801898	5.898409915706797	7.467231290493531	2.7677840270835675e-5	0.03733983802628906	2.873776207457256	up
PB.35887.89	9.174692325317814	1.0341405297839406	9.248664066015463	4.508428788252966e-6	0.023711860839209387	2.806954229095819	up
ENSBIXT00005026772	-10.699943356368037	1.9312555372121745	-8.639630986015018	8.107749444644177e-6	0.028564454740791397	2.7577706459243077	down
PB.28297.100	5.257332528240925	3.6903978882180315	7.2129195717444885	3.681374079323824e-5	0.03877928009426764	2.7331811395260974	up
PB.20783.108	-2.76433159312281	2.059914147628904	-7.187473863331588	3.789466134760254e-5	0.03877928009426764	2.7052328962415384	down
PB.27929.2	1.9966965977937705	4.339018438156469	7.224943510422855	3.6314679210594504e-5	0.03877928009426764	2.669509836239543	up
PB.41850.107	3.357722179057472	7.283259987821768	7.328583860192528	3.230585481666156e-5	0.03733983802628906	2.6577139933394243	up
PB.8084.32	-3.2606746737757115	2.821114896645859	-7.0943704148956455	4.215382901091064e-5	0.039190766113352045	2.5947695816152674	down
PB.20664.6	-8.161983540060639	0.5243417017257382	-8.315583497990348	1.1230688343650458e-5	0.034171411228891724	2.5471570998752426	down
PB.3572.99	-7.857922307201511	0.3881454755986944	-8.213300033537582	1.2472927437914793e-5	0.03597122395604727	2.4822655049284092	down
PB.11003.204	-2.4314121029492552	2.4930576200000103	-6.972949106655601	4.850865205548051e-5	0.03943861499055935	2.458064494010104	down
PB.32432.2	3.8788476923848396	7.219378466750891	7.1497057548961305	3.9563196705804444e-5	0.03877928009426764	2.4534364913687527	up
PB.13527.12	-3.0544351542937154	2.265394774159882	-6.960418502481814	4.922152825299036e-5	0.03943861499055935	2.4508861863879927	down
PB.20750.17	-2.579262917185212	2.8764689253742746	-6.970774749566438	4.863154409285259e-5	0.03943861499055935	2.4400677826937756	down
PB.36348.84	-7.6252964154733505	0.310476972322671	-8.102038426909946	1.399690248530408e-5	0.03597122395604727	2.411593634957378	down
PB.22243.13	-3.4636055971450386	4.066000607705534	-6.977017386325348	4.827962325075395e-5	0.03943861499055935	2.3944491065225595	down
ENSBIXT00005038318	-1.938774086558979	4.137505164235835	-6.977091749519036	4.827544783493667e-5	0.03943861499055935	2.377054802039111	down
PB.9533.6	1.9273069813652217	3.92338059996221	6.952078605788285	4.970229754907479e-5	0.03943861499055935	2.367328805663022	up
ENSBIXT00005016490	2.9492061278242	3.5706901914298195	6.928025026555963	5.111772346050527e-5	0.03943861499055935	2.3665878985232016	up
PB.36019.8	-6.818075287267245	-0.11693433629477605	-8.02900287252692	1.510719896258897e-5	0.03597122395604727	2.352106052671947	down
PB.16863.24	-7.054229272853913	0.059579227994635366	-7.967245985014097	1.6121195695803912e-5	0.03597122395604727	2.3185408801217804	down
ENSBIXT00005009640	2.6874349620334854	4.512713922650876	6.9267025929222825	5.119680170847899e-5	0.03943861499055935	2.3176179760461544	up
PB.2484.23	-8.184850610513	0.6502343765812186	-7.929507545018909	1.677722611484388e-5	0.03622744319037208	2.311344765953132	down
PB.31492.6	1.998343786115485	3.8952840956709673	6.890542859950395	5.341140280009044e-5	0.03943861499055935	2.2963155786731946	up
PB.20750.55	-2.843386491768622	2.9625993748209445	-6.844406343646151	5.638939127977109e-5	0.03943861499055935	2.284622843379932	down
PB.35034.5	2.622059632726637	2.370773887940845	6.784126822818188	6.0555110231947626e-5	0.04031332754839161	2.2469448789960964	up
PB.28927.16	-5.423512665711521	1.6979815309091775	-7.003333208063282	4.682623209574864e-5	0.03943861499055935	2.2119075892623883	down
PB.36348.22	-6.948964236640384	-0.06519874423605576	-7.799158476539071	1.9277010653851206e-5	0.03733983802628906	2.2093624451273852	down
PB.9668.16	-7.189557541016155	0.05710641103814688	-7.75554125331424	2.0201976712292318e-5	0.03733983802628906	2.1852800465228297	down
PB.9356.3	2.600871081449699	3.4302876164436076	6.763847956237764	6.203069567045125e-5	0.04031332754839161	2.1797549832441643	up
PB.30230.2	-2.0955904089103887	2.7535443706928397	-6.738675907842775	6.391687014041944e-5	0.04085864500335454	2.168738432918561	down
PB.35887.157	-7.97719765083051	1.6561482933698546	-7.686899281311563	2.175709452450167e-5	0.03733983802628906	2.1604733280825856	down
ENSBIXT00005008825	2.047570462394394	6.631196269908787	6.876016015983128	5.4330216725341466e-5	0.03943861499055935	2.1306053488516516	up
PB.32577.1	1.9292096107164065	6.255257709152798	6.8330504247939965	5.714972817168252e-5	0.03943861499055935	2.0970256395896234	up
