seqnames	start	end	gene_id	gene_name
3	113405295	113556565	ENSBIXG00005007237	NA
3	8267491	8294756	ENSBIXG00005003242	PCP4L1
5	14274644	14304096	ENSBIXG00005021852	NA
5	16647266	16680163	ENSBIXG00005018867	C1S
5	16678559	16813929	ENSBIXG00005018766	NA
5	5826350	5910030	ENSBIXG00005007913	MPPED1
4	107134577	107223666	ENSBIXG00005015707	PON1
4	54130932	54256963	ENSBIXG00005013614	MINDY4
8	112216757	112250657	ENSBIXG00005024637	TPO
8	75161603	75167584	ENSBIXG00005022407	AQP3
8	38694493	38756334	ENSBIXG00005000033	ERMP1
7	42575614	42583508	ENSBIXG00005004010	NA
7	85498274	85578378	ENSBIXG00005019829	SLC27A6
11	7052697	7079537	ENSBIXG00005012422	IL1RL1
9	73016785	73041366	ENSBIXG00005028188	ALDH8A1
9	87339831	87356500	ENSBIXG00005021328	NA
9	102806163	102819621	ENSBIXG00005001381	NA
9	24463694	24671373	ENSBIXG00005012404	NA
9	64029658	64103088	ENSBIXG00005031507	NT5E
10	20501169	20557126	ENSBIXG00005019601	NA
15	38804256	39023145	ENSBIXG00005006815	SYT9
13	16425600	16460823	ENSBIXG00005012399	TGM2
14	67288801	67849983	ENSBIXG00005010700	CPQ
14	70362509	70473389	ENSBIXG00005000643	CDH17
16	34512278	34583614	ENSBIXG00005024440	KMO
16	5784708	6170379	ENSBIXG00005008802	NA
21	5564545	5699108	ENSBIXG00005006062	LRRK1
21	8257999	8339800	ENSBIXG00005003959	NA
24	62119530	62124137	ENSBIXG00005006455	NA
23	21869127	22146353	ENSBIXG00005027231	PTCHD4
28	14897871	15184629	ENSBIXG00005021219	FAM13C
27	14674110	14754552	ENSBIXG00005007140	ENPP6
25	8115574	8125540	ENSBIXG00005000868	SSC4D
